Date,Open,Close,High,Low,Volume
26/06/18,7076,6977.3,7129.5,6966.9,226454
27/06/18,6978.1,7037,7054.7,6934.8,321178
28/06/18,7036.1,7051.5,7102.4,7024.3,252929
01/07/18,7049.2,7096.8,7099,6967.3,184397
02/07/18,7093.9,7016.7,7144.6,7008.1,133103
03/07/18,7002.4,7024.5,7034.3,6997.1,271172
04/07/18,7024.1,7105.5,7106.9,6998,108042
05/07/18,7097.2,7212.4,7217,7081.1,290376
08/07/18,7212.8,7282.1,7282.8,7212.4,87877
09/07/18,7280.7,7253.9,7314.5,7239.8,166774
10/07/18,7238.8,7235.6,7270.6,7185.2,158336
11/07/18,7239.7,7364.9,7369.2,7230.9,145128
12/07/18,7363.8,7377.8,7395.4,7348.8,169622
15/07/18,7384.7,7301.9,7395.5,7297.8,100122
16/07/18,7302.3,7407.8,7418.4,7274.7,311744
17/07/18,7407,7383.3,7420.1,7366.7,226620
18/07/18,7385.7,7353,7400,7339.8,110667
19/07/18,7367.5,7350.8,7398.7,7336,204737
22/07/18,7359.1,7407.3,7418.6,7299.2,105666
23/07/18,7404.5,7397.7,7475.9,7374.3,100060
24/07/18,7398.4,7471.7,7515.8,7384,114207
25/07/18,7385.8,7411.4,7436.4,7352.2,170175
26/07/18,7419.7,7290.3,7455,7252.8,123263
29/07/18,7281.8,7199.2,7298.8,7156.1,134386
30/07/18,7198.2,7281.8,7286.7,7179.1,126065
31/07/18,7284.4,7276.9,7295,7232.3,148314
01/08/18,7277.4,7384.1,7384.9,7205.2,130725
02/08/18,7383.1,7396.9,7405.7,7354.3,128595
05/08/18,7396.9,7434.5,7440,7379,137669
06/08/18,7432.5,7470.2,7477.4,7430.7,95002
07/08/18,7468.3,7454.8,7486.5,7433.5,85225
08/08/18,7454,7463.1,7497.6,7449.8,86196
09/08/18,7461.4,7419.4,7461.5,7380.6,159234
12/08/18,7406.7,7409.4,7468.8,7369.6,224854
13/08/18,7410.9,7452.6,7454.7,7387.7,111930
14/08/18,7449.1,7369.5,7452.1,7306.8,160349
15/08/18,7366.6,7371.1,7422.8,7351.1,126566
16/08/18,7370.4,7378.6,7394.5,7310.4,115410
19/08/19,7380.3,7370.2,7409.6,7340.5,168161
20/08/18,7369.5,7366.6,7440.6,7358,107823
21/08/18,7358.4,7422.9,7433.7,7340.8,119846
22/08/18,7422.4,7414.4,7465.3,7401.8,119316
23/08/18,7417.1,7486.4,7489.7,7413.1,73830
26/08/18,7491.6,7557.8,7559.2,7489.8,70262
27/08/18,7559.7,7571.4,7587.8,7555.1,67730
28/08/18,7573.7,7663,7664.8,7571.9,67028
29/08/18,7664.6,7635.7,7689.4,7618.9,107536
30/08/18,7633.3,7665.2,7675.2,7626.7,97455
02/09/18,7666.9,7675.3,7680.5,7652.8,31110
03/09/18,7673.8,7635.4,7687.4,7581.2,126459
04/09/18,7636,7530.3,7636.7,7497.2,138086
05/09/18,7527.1,7449.7,7537.3,7403.3,142451
06/09/18,7449.8,7427.2,7489.6,7388.6,159346
09/09/18,7429.8,7455.9,7479.7,7409.4,124062
10/09/18,7455.6,7509.5,7519.3,7399.9,265325
11/09/18,7510.4,7477.8,7536.4,7421.4,139227
12/09/18,7476.8,7562,7578.4,7464.7,202640
13/09/18,7559.3,7540.2,7594.3,7512.6,87063
16/09/18,7533.2,7432.9,7545,7426.7,85571
17/09/18,7431.6,7496,7531,7391.3,105969
18/09/18,7496.2,7496.3,7513.3,7439.8,79090
19/09/18,7497.5,7581.8,7584.4,7482.4,182995
20/09/18,7571.7,7519.4,7604.9,7518.6,137638
23/09/18,7509.1,7561.7,7563.5,7445.5,99500
24/09/18,7561,7569.1,7573.4,7523,120707
25/09/18,7570.2,7561.8,7638,7548.1,143078
26/09/18,7561.6,7635.6,7657.3,7557.2,117096
27/09/18,7634,7638.3,7648.3,7588,228386
30/09/18,7646.1,7647.4,7700.8,7626,93606
01/10/18,7646.3,7630.8,7685,7603.5,113123
02/10/18,7627.7,7625.2,7677.2,7614.2,130438
03/10/18,7623.6,7499.5,7623.6,7432.4,172524
04/10/18,7497.7,7414.4,7515.4,7325.6,179869
07/10/18,7425.8,7368.7,7430.6,7264.1,167078
08/10/18,7367,7371.2,7430.6,7313.5,185296
09/10/18,7371.7,6980.7,7388,6978,188966
10/10/18,6989.5,7023.2,7117.2,6889.6,238832
11/10/18,7023,7163.9,7178.5,7014.1,214753
14/10/18,7160.6,7052.7,7160.6,7043.6,226732
15/10/18,7055.4,7321.6,7336.4,7046.3,192921
16/10/18,7323.8,7297.3,7349.3,7204.4,205228
17/10/18,7289.9,7139.9,7291.3,7079.6,221560
18/10/18,7139,7088.1,7228.2,7078.6,174637
21/10/18,7058,7142.7,7194.3,7042.5,208030
22/10/18,7139.4,7126.5,7149.1,6929.1,226424
23/10/18,7121,6864,7159.5,6776.1,280715
24/10/18,6865.9,6879,7064.4,6806.4,232547
25/10/18,6865.7,6863.8,6977.2,6724.9,308362
28/10/18,6921.8,6714.2,6982.8,6572,315698
29/10/18,6970.3,6971.1,7134.9,6907,285520
30/10/18,6852.3,6949.7,7029.7,6807.3,216305
31/10/18,6950.6,7019.8,7071.7,6928.2,233492
01/11/18,6970.3,6971.1,7134.9,6907,285520
04/11/18,6966.5,6941.7,6992.1,6858.6,235654
05/11/18,6938.6,7005.1,7026.8,6899.7,207732
06/11/18,7001.8,7211.6,7215.6,6964.3,230623
07/11/18,7203.2,7138.3,7218.4,7121.8,176447
08/11/18,7134.1,7022.1,7155.8,6980.1,265983
11/11/18,7018.1,6831.8,7094.6,6817.1,238845
12/11/18,6838.1,6848.1,6952.1,6792.4,339699
13/11/18,6849.6,6770.1,6916.7,6734.4,282884
14/11/18,6768.8,6874.6,6908,6700.2,344418
15/11/18,6861.1,6884.1,6899.7,6794,197318
18/11/18,6862.1,6663,6922.5,6621.4,300641
19/11/18,6654.4,6513.1,6658.2,6439.5,372134
20/11/18,6517.3,6567.2,6638.7,6498.4,191052
21/11/18,6572.6,6512.3,6588.7,6498,157868
22/11/18,6518.2,6522,6592.8,6486.5,117129
25/11/18,6531.5,6632.5,6687.5,6521.7,251038
26/11/18,6633.4,6711.4,6715.9,6606.6,381779
27/11/18,6719.2,6908.7,6916.4,6702.3,215988
28/11/18,6901.7,6900.2,6937.3,6838,190479
29/11/18,6899.2,6954.6,6961,6865.7,185781
02/12/18,7041.4,7050.9,7132.7,7011.7,213288
03/12/18,7049.8,6797.7,7050.3,6778.3,294498
04/12/18,6792,6843.2,6856.1,6787.6,99525
05/12/18,6828.6,6836.1,6847.8,6624.7,280623
06/12/18,6833,6623.5,6849.9,6589.7,256718
09/12/18,6585.6,6690.2,6710.7,6532,317388
10/12/18,6691,6677.1,6804.5,6646.9,217541
11/12/18,6681.9,6761,6867.7,6681.9,186049
12/12/18,6767.3,6742.5,6833.1,6719.5,217838
13/12/18,6744.8,6583.4,6756.7,6581.7,175293
16/12/18,6573.1,6466.3,6632.5,6398.4,341611
17/12/18,6464.7,6436.5,6551.7,6431.4,216730
18/12/18,6434.5,6325.1,6577.2,6278.6,239821
19/12/18,6329.3,6302.2,6383.1,6159.6,276824
20/12/18,6296.9,6057.2,6317.3,6009.8,418280
23/12/18,6010,5891.7,6103.5,5880,241461
25/12/18,5872.1,6259.6,6289.9,5817.4,235690
26/12/18,6269.8,6294.7,6317,6039.5,303823
27/12/18,6300,6280.8,6388.6,6230.4,294700
30/12/18,6308.9,6330.2,6362.4,6269.3,157983
01/01/19,6334.7,6252.1,6395.8,6141.2,276501
02/01/19,6216.3,6159.2,6290.1,6136.6,338637
03/01/19,6158.5,6417.8,6448.8,6125.6,322013
06/01/19,6437.4,6490.2,6522.4,6386.7,269180
07/01/19,6491.9,6537.9,6571.8,6454.3,214116
08/01/19,6538,6590.4,6630.8,6532.5,309408
09/01/19,6582.8,6615.2,6628.3,6514.5,406669
10/01/19,6613,6601.7,6619.6,6559.8,209986
13/01/19,6583.3,6536.2,6589.4,6510.7,172141
14/01/19,6533.5,6666.8,6676.4,6531,277442
15/01/19,6666.1,6659.2,6721,6651.6,191037
16/01/19,6657.2,6719.5,6748.7,6599.6,139274
17/01/19,6713.3,6795.4,6817.1,6701.2,122700
20/01/19,6778.8,6751.4,6783.4,6731.5,56324
21/01/19,6743.9,6643.2,6767.4,6601.7,146106
22/01/19,6641.4,6660.3,6713.7,6582.4,173235
23/01/19,6655.9,6677.7,6709.8,6644,167556
24/01/19,6676.4,6786.3,6802.2,6668.6,127707
27/01/19,6776,6692,6783.5,6642.3,176703
28/01/19,6690.8,6674,6714.6,6609.5,145870
29/01/19,6687.7,6830.7,6837.1,6649.8,150850
30/01/19,6844.1,6925.5,6936,6832.1,161879
31/01/19,6897.1,6873.4,6921.1,6855,187636
03/02/19,6857.5,6939.9,6974.6,6853.1,147713
04/02/19,6932.8,7009,7030,6924.7,246751
05/02/19,7008,6984.3,7032.9,6967.2,234688
06/02/19,6983.5,6899.6,6989.5,6851.9,251951
07/02/19,6893.4,6916.5,6918,6834.4,183167
10/02/19,6917.4,6903.5,6963.2,6889.8,89632
11/02/19,6902.8,7013.3,7020.8,6897.6,108755
12/02/19,7010.2,7010,7062.7,7005.1,100858
13/02/19,7008.7,7010.1,7049.3,6964.7,135610
14/02/19,7012.6,7057.9,7088.8,6969.4,205490
17/02/19,7072.6,7075,7076.6,7049.9,135578
18/02/19,7069.8,7063.6,7088.7,7029.4,205907
19/02/19,7062.3,7063.8,7096.8,7024.2,171405
20/02/19,7063.2,7030.5,7104.9,6999,303880
21/02/19,7022.6,7092.4,7094.2,7012.9,90634
